"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensg","gene","desc"
"ENSMUSG00000034871",20.591558236491,1.09923262747395,0.601678981073457,1.82694204393315,0.0677084838429427,0.133898088368797,"ENSMUSG00000034871","Fam151a","family with sequence simliarity 151, member A [Source:MGI Symbol;Acc:MGI:2657115]"
"ENSMUSG00000034875",406.270775304681,-1.44227651210311,0.385193090921152,-3.74429486430831,0.000180901106034196,0.000958592277720626,"ENSMUSG00000034875","Nudt19","nudix (nucleoside diphosphate linked moiety X)-type motif 19 [Source:MGI Symbol;Acc:MGI:94203]"
"ENSMUSG00000034880",6.23387418667775,-0.511753798217199,1.08824982154793,-0.470253969340679,0.638173579835346,0.738668643519878,"ENSMUSG00000034880","Mrpl34","mitochondrial ribosomal protein L34 [Source:MGI Symbol;Acc:MGI:2137227]"
"ENSMUSG00000034883",5.64228605075832,2.39264497570756,1.16290242561191,2.05747698432099,0.03964036660607,0.0872357946253861,"ENSMUSG00000034883","Lrr1","leucine rich repeat protein 1 [Source:MGI Symbol;Acc:MGI:1916956]"
"ENSMUSG00000034889",239.43004395044,0.641612772304018,0.248349564409719,2.58350673506923,0.00978015575402897,0.0276846110335065,"ENSMUSG00000034889","Cactin","cactin, spliceosome C complex subunit [Source:MGI Symbol;Acc:MGI:1917562]"
"ENSMUSG00000034891",928.49920612394,-1.07325751830682,0.199605860595305,-5.3768838004352,7.57860490420315e-08,1.05094116628664e-06,"ENSMUSG00000034891","Sncb","synuclein, beta [Source:MGI Symbol;Acc:MGI:1889011]"
"ENSMUSG00000034892",183.886758770983,-0.811064525010843,0.232372796190516,-3.49035919138261,0.000482371735441479,0.00223657058755243,"ENSMUSG00000034892","Rps29","ribosomal protein S29 [Source:MGI Symbol;Acc:MGI:107681]"
"ENSMUSG00000034893",330.264598156861,0.358813087348847,0.268859398900607,1.33457520479503,0.182015417766132,0.292430924448877,"ENSMUSG00000034893","Cog3","component of oligomeric golgi complex 3 [Source:MGI Symbol;Acc:MGI:2450151]"
"ENSMUSG00000034898",105.883712729723,-0.0283555980068892,0.334158645232658,-0.0848566943020333,0.932375320494989,0.956036808990934,"ENSMUSG00000034898","Filip1","filamin A interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917848]"
"ENSMUSG00000034902",938.08175913527,-0.141094729446714,0.251650918805467,-0.560676392983026,0.575018163142909,0.687247696348986,"ENSMUSG00000034902","Pip5k1c","phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma [Source:MGI Symbol;Acc:MGI:1298224]"
"ENSMUSG00000034903",144.958439341199,0.563849072046681,0.278236747746539,2.02650827618328,0.0427127254855462,0.092689891494849,"ENSMUSG00000034903","Cobll1","Cobl-like 1 [Source:MGI Symbol;Acc:MGI:2442894]"
"ENSMUSG00000034906",82.9138046362423,0.882562625469237,0.33308470953902,2.64966418509778,0.00805718126417986,0.0235336258267009,"ENSMUSG00000034906","Ncaph","non-SMC condensin I complex, subunit H [Source:MGI Symbol;Acc:MGI:2444777]"
"ENSMUSG00000034908",394.805787729452,-0.065586807171399,0.229513697886692,-0.285764238802768,0.775058699726034,0.842989657705547,"ENSMUSG00000034908","Sidt2","SID1 transmembrane family, member 2 [Source:MGI Symbol;Acc:MGI:2446134]"
"ENSMUSG00000034910",100.537126511032,-0.480083517406239,0.360125054822575,-1.3331022403947,0.182498254270885,0.292963970672998,"ENSMUSG00000034910","Pygo1","pygopus 1 [Source:MGI Symbol;Acc:MGI:1919385]"
"ENSMUSG00000034912",527.599129545534,-0.535826551418485,0.181455121465582,-2.95294256282603,0.00314760522980155,0.0108209391237746,"ENSMUSG00000034912","Mdga2","MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:MGI Symbol;Acc:MGI:2444706]"
"ENSMUSG00000034926",309.552863361836,-0.739641533602634,0.214309563624883,-3.45127637372854,0.000557941911514156,0.00252433956839114,"ENSMUSG00000034926","Dhcr24","24-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1922004]"
"ENSMUSG00000034928",185.896475714847,0.672963530263031,0.414804809234442,1.62236192850571,0.104725875883889,0.189871593349315,"ENSMUSG00000034928","Rnf44","ring finger protein 44 [Source:MGI Symbol;Acc:MGI:2145310]"
"ENSMUSG00000034930",64.3928878352056,0.295952150592347,0.315861504758858,0.936968089284225,0.348774972679459,0.478618116758955,"ENSMUSG00000034930","Rtkn","rhotekin [Source:MGI Symbol;Acc:MGI:107371]"
