Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensg,gene,desc
ENSMUSG00000033253,305.876057217782,2.09500138740926,0.337023700433154,6.21618415772155,5.09390169262965e-10,1.21111750226165e-08,ENSMUSG00000033253,Szt2,SZT2 subunit of KICSTOR complex [Source:MGI Symbol;Acc:MGI:3033336]
ENSMUSG00000020941,81.2138103754299,2.03649842275113,0.332326916273647,6.12799723111872,8.89921342475227e-10,2.01927074785311e-08,ENSMUSG00000020941,Map3k14,mitogen-activated protein kinase kinase kinase 14 [Source:MGI Symbol;Acc:MGI:1858204]
ENSMUSG00000039307,94.3781926176835,2.07690497016728,0.341942644774764,6.07384016560826,1.2488703700910701e-09,2.7214549188373e-08,ENSMUSG00000039307,Hexdc,"hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing [Source:MGI Symbol;Acc:MGI:3605542]"
ENSMUSG00000026628,284.898591541573,2.06193572471234,0.340326065020212,6.05870644844639,1.37220550827408e-09,2.95699396513156e-08,ENSMUSG00000026628,Atf3,activating transcription factor 3 [Source:MGI Symbol;Acc:MGI:109384]
ENSMUSG00000036760,107.966819038456,2.89196756480011,0.481520193746272,6.00591128338841,1.90260210627784e-09,3.97992699458059e-08,ENSMUSG00000036760,Kcnk9,"potassium channel, subfamily K, member 9 [Source:MGI Symbol;Acc:MGI:3521816]"
ENSMUSG00000047021,47.3353838477454,2.57856785373963,0.431218958362969,5.97971820053694,2.23523964131431e-09,4.63291807182948e-08,ENSMUSG00000047021,Cfap65,cilia and flagella associated protein 65 [Source:MGI Symbol;Acc:MGI:2444274]
ENSMUSG00000046761,49.0515047589588,2.60566739180488,0.441786844074433,5.89801943347564,3.6789065431231e-09,7.13497646134846e-08,ENSMUSG00000046761,Fam83h,"family with sequence similarity 83, member H [Source:MGI Symbol;Acc:MGI:2145900]"
ENSMUSG00000049538,48.790840517077,2.2517343391269,0.38274045160702,5.88318880241821,4.0243640234407e-09,7.7167748562473e-08,ENSMUSG00000049538,Adamts16,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16 [Source:MGI Symbol;Acc:MGI:2429637]"
ENSMUSG00000022791,262.411265612039,2.15050219146609,0.366826556527053,5.862449577877,4.5608813097159705e-09,8.65993351897959e-08,ENSMUSG00000022791,Tnk2,"tyrosine kinase, non-receptor, 2 [Source:MGI Symbol;Acc:MGI:1858308]"
ENSMUSG00000038725,35.0539456472377,2.76089470583893,0.472609235394206,5.84181285314082,5.163579604398471e-09,9.70924608162238e-08,ENSMUSG00000038725,Pkhd1l1,polycystic kidney and hepatic disease 1-like 1 [Source:MGI Symbol;Acc:MGI:2183153]
ENSMUSG00000025409,92.4943083269876,2.4982275445341,0.428521096788102,5.82988227011246,5.546649418274851e-09,1.04007337710635e-07,ENSMUSG00000025409,Mbd6,methyl-CpG binding domain protein 6 [Source:MGI Symbol;Acc:MGI:106378]
ENSMUSG00000087230,25.9882458150042,3.70362024430882,0.644630517721654,5.74533805411306,9.17375208376662e-09,1.61534187145546e-07,ENSMUSG00000087230,Mroh3,maestro heat-like repeat family member 3 [Source:MGI Symbol;Acc:MGI:1923672]
ENSMUSG00000030761,53.0663998013058,2.0953038381941,0.365169460539694,5.737894497249,9.58607975814558e-09,1.67491143882348e-07,ENSMUSG00000030761,Myo7a,myosin VIIA [Source:MGI Symbol;Acc:MGI:104510]
ENSMUSG00000066892,51.4856789335964,2.24029792315051,0.390926649852357,5.73073727257177,9.99950449798329e-09,1.73597535888262e-07,ENSMUSG00000066892,Fbxl12,F-box and leucine-rich repeat protein 12 [Source:MGI Symbol;Acc:MGI:1354738]
ENSMUSG00000044786,47.2130397375893,2.29529392127424,0.402676308932286,5.70009675354457,1.19739449245905e-08,2.03452160571014e-07,ENSMUSG00000044786,Zfp36,zinc finger protein 36 [Source:MGI Symbol;Acc:MGI:99180]
ENSMUSG00000116780,40.5561431944511,2.37289253031816,0.417867276094196,5.67857945828537,1.3581793927502e-08,2.27356885770367e-07,ENSMUSG00000116780,Dynlt2a3,dynein light chain Tctex-type 2A3 [Source:MGI Symbol;Acc:MGI:3781595]
ENSMUSG00000041354,43.7574762888243,2.76816201299518,0.487969760922117,5.67281465917925,1.40470181368792e-08,2.34566197080286e-07,ENSMUSG00000041354,Rgl2,ral guanine nucleotide dissociation stimulator-like 2 [Source:MGI Symbol;Acc:MGI:107483]
ENSMUSG00000031972,75.2114270335067,2.14401929981621,0.378747803648299,5.66080985596189,1.50660288622248e-08,2.49434643699467e-07,ENSMUSG00000031972,Acta1,"actin, alpha 1, skeletal muscle [Source:MGI Symbol;Acc:MGI:87902]"
ENSMUSG00000039396,59.1989302991657,2.14817723692192,0.379706778236347,5.65746349564715,1.53626478022566e-08,2.5403569617958e-07,ENSMUSG00000039396,Neil3,nei like 3 (E. coli) [Source:MGI Symbol;Acc:MGI:2384588]
ENSMUSG00000074340,63.0106843395058,2.24791265822184,0.39820617489653,5.64509743929996,1.65087722229841e-08,2.70353548491233e-07,ENSMUSG00000074340,Ovgp1,oviductal glycoprotein 1 [Source:MGI Symbol;Acc:MGI:106661]
ENSMUSG00000051817,52.6565003685076,2.64778794148382,0.473076008094376,5.59696094534474,2.18141822800892e-08,3.44760580482527e-07,ENSMUSG00000051817,Sox12,SRY (sex determining region Y)-box 12 [Source:MGI Symbol;Acc:MGI:98360]
ENSMUSG00000072770,32.9613150197948,2.80011979508318,0.502456206556751,5.57286338300393,2.50586078579663e-08,3.91930484193261e-07,ENSMUSG00000072770,Acrbp,proacrosin binding protein [Source:MGI Symbol;Acc:MGI:1859515]
ENSMUSG00000061207,85.2727377480994,2.43538252949458,0.440198925542519,5.532459050174,3.15772178501113e-08,4.83305873205311e-07,ENSMUSG00000061207,Stk19,serine/threonine kinase 19 [Source:MGI Symbol;Acc:MGI:1860085]
ENSMUSG00000009995,80.8799475524435,2.45442670373077,0.443850981157423,5.52984404209359,3.20515611831137e-08,4.894623111608e-07,ENSMUSG00000009995,Taz,tafazzin [Source:MGI Symbol;Acc:MGI:109626]
ENSMUSG00000070808,178.819952689901,2.20602697663605,0.399424135849737,5.52301871278493,3.33224229809774e-08,5.05458340100278e-07,ENSMUSG00000070808,Bicra,BRD4 interacting chromatin remodeling complex associated protein [Source:MGI Symbol;Acc:MGI:2154263]
ENSMUSG00000015377,126.709548897977,2.01429331649261,0.36634815951242,5.49830336031569,3.83462832094418e-08,5.73968181754556e-07,ENSMUSG00000015377,Dennd6b,DENN/MADD domain containing 6B [Source:MGI Symbol;Acc:MGI:1916690]
ENSMUSG00000078485,80.2942171217326,2.37933734887834,0.433185499456133,5.49265234377793,3.95941744190203e-08,5.88751929805717e-07,ENSMUSG00000078485,Plekhn1,"pleckstrin homology domain containing, family N member 1 [Source:MGI Symbol;Acc:MGI:2387630]"
ENSMUSG00000023191,74.4455860059654,2.06163499590369,0.375405630114756,5.49175300134277,3.9796370709095e-08,5.91111081779731e-07,ENSMUSG00000023191,P3h3,prolyl 3-hydroxylase 3 [Source:MGI Symbol;Acc:MGI:1315208]
ENSMUSG00000032715,35.1760695322542,2.76991426419215,0.507632843878486,5.45653083245968,4.85527000830612e-08,7.08003712489408e-07,ENSMUSG00000032715,Trib3,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]
ENSMUSG00000031389,27.4535901663139,3.0254870308205,0.55486898442879,5.45261515010627,4.96344109476353e-08,7.21452637071838e-07,ENSMUSG00000031389,Arhgap4,Rho GTPase activating protein 4 [Source:MGI Symbol;Acc:MGI:2159577]
ENSMUSG00000028950,37.5315827030421,2.49088489647108,0.45705692283925,5.44983517807286,5.04165219709416e-08,7.30691666473312e-07,ENSMUSG00000028950,Tas1r1,"taste receptor, type 1, member 1 [Source:MGI Symbol;Acc:MGI:1927505]"
ENSMUSG00000029022,43.409612817818,2.41216830552311,0.443356244653006,5.44069996670737,5.30716309144549e-08,7.63242014083305e-07,ENSMUSG00000029022,Miip,migration and invasion inhibitory protein [Source:MGI Symbol;Acc:MGI:106506]
ENSMUSG00000032815,55.2727834886138,2.31076992918462,0.428668367108023,5.39057720721042,7.02317333665843e-08,9.79923959079905e-07,ENSMUSG00000032815,Fanca,"Fanconi anemia, complementation group A [Source:MGI Symbol;Acc:MGI:1341823]"
ENSMUSG00000048997,173.612732987406,2.12463303197079,0.394787003530698,5.38171979566085,7.37775464676574e-08,1.02623357668537e-06,ENSMUSG00000048997,Atxn7l2,ataxin 7-like 2 [Source:MGI Symbol;Acc:MGI:1919772]
ENSMUSG00000050368,54.5913365030124,2.25789494823406,0.422870416229347,5.33944882776921,9.3229579125923e-08,1.25439520932956e-06,ENSMUSG00000050368,Hoxd10,homeobox D10 [Source:MGI Symbol;Acc:MGI:96202]
ENSMUSG00000043015,53.2364981144027,2.05794655749467,0.388994344423191,5.29042796379531,1.22030478834429e-07,1.58382961821818e-06,ENSMUSG00000043015,Nemp2,nuclear envelope integral membrane protein 2 [Source:MGI Symbol;Acc:MGI:2444113]
ENSMUSG00000046793,42.1240032522685,2.55288900309918,0.483915144575793,5.27548896064635,1.32402582033614e-07,1.70540555378401e-06,ENSMUSG00000046793,Gpr61,G protein-coupled receptor 61 [Source:MGI Symbol;Acc:MGI:2441719]
ENSMUSG00000031706,43.9392413383471,2.22528658394728,0.427700597227584,5.20290735709022,1.96194687541951e-07,2.42139916188139e-06,ENSMUSG00000031706,Rfx1,"regulatory factor X, 1 (influences HLA class II expression) [Source:MGI Symbol;Acc:MGI:105982]"
ENSMUSG00000047428,64.2778038219347,2.47490378005182,0.479494812187807,5.16148187038666,2.45002621692383e-07,2.96978177865696e-06,ENSMUSG00000047428,Dlk2,delta like non-canonical Notch ligand 2 [Source:MGI Symbol;Acc:MGI:2146838]
ENSMUSG00000023905,43.6181740098088,2.01434025026208,0.390797955984028,5.15442882803717,2.5440515962968e-07,3.07551598141811e-06,ENSMUSG00000023905,Tnfrsf12a,"tumor necrosis factor receptor superfamily, member 12a [Source:MGI Symbol;Acc:MGI:1351484]"
ENSMUSG00000070427,26.7246659434072,3.56303370422623,0.69148267033173,5.15274475717071,2.56701249932996e-07,3.10051260595227e-06,ENSMUSG00000070427,Il18bp,interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]
ENSMUSG00000004328,42.6544727365341,2.09101665594485,0.405936460349766,5.15109348429351,2.58972052278459e-07,3.12238417560601e-06,ENSMUSG00000004328,Hif3a,"hypoxia inducible factor 3, alpha subunit [Source:MGI Symbol;Acc:MGI:1859778]"
ENSMUSG00000024301,43.3857928435953,2.23938645498221,0.435314594808015,5.14429445208433,2.685280787838e-07,3.21759682044913e-06,ENSMUSG00000024301,Kifc5b,kinesin family member C5B [Source:MGI Symbol;Acc:MGI:2137414]
ENSMUSG00000061099,43.7104520147189,2.859153203084,0.556802901505419,5.13494666668179,2.82224046351211e-07,3.35505573840984e-06,ENSMUSG00000061099,Gapdhs,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:MGI Symbol;Acc:MGI:95653]"
ENSMUSG00000002227,77.4115555620999,2.07351053764027,0.405192398730341,5.11734806511069,3.0986148726033e-07,3.63585095163893e-06,ENSMUSG00000002227,Mov10,Mov10 RISC complex RNA helicase [Source:MGI Symbol;Acc:MGI:97054]
ENSMUSG00000022948,52.2225282431401,2.07821306172236,0.407461828866042,5.10038711480285,3.38959494242904e-07,3.92973022531312e-06,ENSMUSG00000022948,Setd4,SET domain containing 4 [Source:MGI Symbol;Acc:MGI:2136890]
ENSMUSG00000074818,51.9103625609518,2.70401910690628,0.530736236500387,5.09484546360781,3.49025840095378e-07,4.03609438256801e-06,ENSMUSG00000074818,Pdzd7,PDZ domain containing 7 [Source:MGI Symbol;Acc:MGI:3608325]
ENSMUSG00000073434,66.5076711203753,2.31497631330659,0.454780936162808,5.09031080510781,3.57477089755011e-07,4.12328714572135e-06,ENSMUSG00000073434,Wdr90,WD repeat domain 90 [Source:MGI Symbol;Acc:MGI:1921267]
ENSMUSG00000055632,115.234314062524,2.43325249236704,0.483625083225125,5.03127851876611,4.87219737741406e-07,5.457504257077e-06,ENSMUSG00000055632,Hmcn2,hemicentin 2 [Source:MGI Symbol;Acc:MGI:2677838]
ENSMUSG00000040734,44.0696313491482,2.1257065087846,0.422913785303121,5.02633534932188,4.99941334198254e-07,5.57832920015588e-06,ENSMUSG00000040734,Ppp1r13l,"protein phosphatase 1, regulatory subunit 13 like [Source:MGI Symbol;Acc:MGI:3525053]"
ENSMUSG00000053552,42.9501978756316,2.12918026593358,0.424693396690662,5.01345272265777,5.346190784776e-07,5.8909653550805e-06,ENSMUSG00000053552,Ebf4,early B cell factor 4 [Source:MGI Symbol;Acc:MGI:2385972]
ENSMUSG00000044083,56.7714834848239,2.05657093159879,0.411011384001357,5.0036836244711,5.62450386145492e-07,6.13812414976785e-06,ENSMUSG00000044083,Efcab8,EF-hand calcium binding domain 8 [Source:MGI Symbol;Acc:MGI:3644206]
ENSMUSG00000048617,36.5193073790496,2.69470424307431,0.540179324225123,4.98853644007907,6.08384368354608e-07,6.58121608349176e-06,ENSMUSG00000048617,Rtbdn,retbindin [Source:MGI Symbol;Acc:MGI:2443686]
ENSMUSG00000039759,35.0774407565017,2.68095276852154,0.540698775798908,4.95831114942012,7.11086140324877e-07,7.5243222455577e-06,ENSMUSG00000039759,Thap3,"THAP domain containing, apoptosis associated protein 3 [Source:MGI Symbol;Acc:MGI:1917126]"
ENSMUSG00000058498,21.9440763756602,3.00223917129453,0.606272679866228,4.95196183334033,7.34690160585706e-07,7.74992511275179e-06,ENSMUSG00000058498,Rnf207,ring finger protein 207 [Source:MGI Symbol;Acc:MGI:2684989]
ENSMUSG00000078747,67.3915742814848,2.03572119081509,0.411716784294987,4.94446976287596,7.63513905634896e-07,8.01040555092686e-06,ENSMUSG00000078747,Gm20878,"predicted gene, 20878 [Source:MGI Symbol;Acc:MGI:5434234]"
ENSMUSG00000079553,39.3464835375439,2.39139593278533,0.492725420032082,4.85340482865614,1.2135959592445e-06,1.20418542200448e-05,ENSMUSG00000079553,Kifc1,kinesin family member C1 [Source:MGI Symbol;Acc:MGI:109596]
ENSMUSG00000034771,45.6230295585814,2.11863208307982,0.43867349363917,4.82963323246172,1.36784765689998e-06,1.34078698845301e-05,ENSMUSG00000034771,Tle2,transducin-like enhancer of split 2 [Source:MGI Symbol;Acc:MGI:104635]
ENSMUSG00000002083,17.9067288064495,3.75904037758348,0.785126021450643,4.78781784692102,1.68604573290803e-06,1.60514614667137e-05,ENSMUSG00000002083,Bbc3,BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]
ENSMUSG00000063129,39.5312323106015,2.20733986313893,0.461702100342765,4.78087464081322,1.74534176118621e-06,1.65536252026805e-05,ENSMUSG00000063129,Aldoart2,"aldolase 1 A, retrogene 2 [Source:MGI Symbol;Acc:MGI:1931052]"
ENSMUSG00000050708,357.452787323318,2.14157624417149,0.448751758862962,4.77229604536318,1.8213751468285e-06,1.71834530877997e-05,ENSMUSG00000050708,Ftl1,ferritin light polypeptide 1 [Source:MGI Symbol;Acc:MGI:95589]
ENSMUSG00000094695,54.0863508066523,2.4292492187649,0.510298266372361,4.76044967981979,1.9316209203777e-06,1.81478793183721e-05,ENSMUSG00000094695,Gm21953,"predicted gene, 21953 [Source:MGI Symbol;Acc:MGI:5439404]"
ENSMUSG00000089832,34.0476978410017,2.11633969315561,0.450252225129445,4.70034255254856,2.59725441935057e-06,2.3459964069929e-05,ENSMUSG00000089832,Shkbp1,Sh3kbp1 binding protein 1 [Source:MGI Symbol;Acc:MGI:2385803]
ENSMUSG00000029862,34.3016273046771,2.32458587957033,0.494781515364033,4.69820679913645,2.6245561868468e-06,2.36436461795834e-05,ENSMUSG00000029862,Clcn1,"chloride channel, voltage-sensitive 1 [Source:MGI Symbol;Acc:MGI:88417]"
ENSMUSG00000036875,48.1490145740541,2.22925350997657,0.475692384555037,4.68633424111218,2.78141890453816e-06,2.48261295516174e-05,ENSMUSG00000036875,Dna2,DNA replication helicase/nuclease 2 [Source:MGI Symbol;Acc:MGI:2443732]
ENSMUSG00000036523,57.2208729075613,2.07489671374401,0.446034651736197,4.65187335931737,3.28933071975197e-06,2.87473234288954e-05,ENSMUSG00000036523,Greb1,gene regulated by estrogen in breast cancer protein [Source:MGI Symbol;Acc:MGI:2149712]
